cohort	feature	rate	rate_95CI_lo	rate_95CI_hi
Adenocarcinoma	CDS	1.363644e+00	1.357924e+00	1.369389e+00
Adenocarcinoma	enhancers	1.520813e+00	1.510741e+00	1.530953e+00
Adenocarcinoma	lncrna	1.597333e+00	1.586614e+00	1.608125e+00
Adenocarcinoma	lncrna.prom	1.688357e+00	1.669092e+00	1.707848e+00
Adenocarcinoma	pc.3utr	1.414551e+00	1.408551e+00	1.420577e+00
Adenocarcinoma	pc.5utr	1.420055e+00	1.407913e+00	1.432303e+00
Adenocarcinoma	promcore	1.439065e+00	1.429715e+00	1.448478e+00
Biliary-AdenoCa	CDS	1.671191e+00	1.627818e+00	1.715735e+00
Biliary-AdenoCa	enhancers	1.851039e+00	1.769307e+00	1.936601e+00
Biliary-AdenoCa	lncrna	2.179305e+00	2.086574e+00	2.276217e+00
Biliary-AdenoCa	lncrna.prom	1.731625e+00	1.602454e+00	1.871364e+00
Biliary-AdenoCa	pc.3utr	1.755812e+00	1.710457e+00	1.802388e+00
Biliary-AdenoCa	pc.5utr	1.959136e+00	1.857678e+00	2.066217e+00
Biliary-AdenoCa	promcore	1.921185e+00	1.844992e+00	2.000569e+00
Bladder-TCC	CDS	2.724041e+00	2.656672e+00	2.793143e+00
Bladder-TCC	enhancers	4.824936e+00	4.629837e+00	5.028374e+00
Bladder-TCC	lncrna	4.375905e+00	4.184274e+00	4.576440e+00
Bladder-TCC	lncrna.prom	2.991106e+00	2.786387e+00	3.211091e+00
Bladder-TCC	pc.3utr	2.297109e+00	2.233731e+00	2.362312e+00
Bladder-TCC	pc.5utr	3.880616e+00	3.722703e+00	4.045324e+00
Bladder-TCC	promcore	3.834396e+00	3.713824e+00	3.958939e+00
Bone-Leiomyo	CDS	5.898674e-01	5.643338e-01	6.165731e-01
Bone-Leiomyo	enhancers	6.071887e-01	5.614806e-01	6.566737e-01
Bone-Leiomyo	lncrna	6.129330e-01	5.655396e-01	6.643580e-01
Bone-Leiomyo	lncrna.prom	5.486288e-01	4.792099e-01	6.282677e-01
Bone-Leiomyo	pc.3utr	4.845305e-01	4.610038e-01	5.092754e-01
Bone-Leiomyo	pc.5utr	5.670752e-01	5.192150e-01	6.194143e-01
Bone-Leiomyo	promcore	5.818518e-01	5.444095e-01	6.219076e-01
Bone-Osteosarc	CDS	3.606295e-01	3.425160e-01	3.797150e-01
Bone-Osteosarc	enhancers	4.043679e-01	3.715184e-01	4.401660e-01
Bone-Osteosarc	lncrna	4.080978e-01	3.744905e-01	4.447670e-01
Bone-Osteosarc	lncrna.prom	4.213751e-01	3.634818e-01	4.886425e-01
Bone-Osteosarc	pc.3utr	3.174957e-01	3.000054e-01	3.360205e-01
Bone-Osteosarc	pc.5utr	4.146087e-01	3.772598e-01	4.557122e-01
Bone-Osteosarc	promcore	4.153212e-01	3.868234e-01	4.459498e-01
Breast	CDS	8.896281e-01	8.767575e-01	9.026903e-01
Breast	enhancers	8.658660e-01	8.449453e-01	8.873119e-01
Breast	lncrna	8.587450e-01	8.371669e-01	8.808872e-01
Breast	lncrna.prom	8.904507e-01	8.524788e-01	9.301383e-01
Breast	pc.3utr	7.506204e-01	7.385609e-01	7.628796e-01
Breast	pc.5utr	1.034161e+00	1.006163e+00	1.062949e+00
Breast	promcore	1.017167e+00	9.958300e-01	1.038968e+00
Breast-AdenoCa	CDS	8.831344e-01	8.698939e-01	8.965793e-01
Breast-AdenoCa	enhancers	8.627821e-01	8.412189e-01	8.849058e-01
Breast-AdenoCa	lncrna	8.532791e-01	8.310627e-01	8.760978e-01
Breast-AdenoCa	lncrna.prom	8.889560e-01	8.498564e-01	9.298805e-01
Breast-AdenoCa	pc.3utr	7.515784e-01	7.391086e-01	7.642615e-01
Breast-AdenoCa	pc.5utr	1.021039e+00	9.921081e-01	1.050826e+00
Breast-AdenoCa	promcore	1.006846e+00	9.848343e-01	1.029357e+00
CNS	CDS	3.490067e-01	3.421621e-01	3.559902e-01
CNS	enhancers	3.872677e-01	3.739730e-01	4.010418e-01
CNS	lncrna	3.610473e-01	3.478886e-01	3.747109e-01
CNS	lncrna.prom	5.198991e-01	4.886293e-01	5.531996e-01
CNS	pc.3utr	2.910015e-01	2.842607e-01	2.979044e-01
CNS	pc.5utr	4.483287e-01	4.297592e-01	4.677122e-01
CNS	promcore	4.375044e-01	4.238184e-01	4.516386e-01
CNS-GBM	CDS	1.652138e+00	1.611840e+00	1.693458e+00
CNS-GBM	enhancers	1.567906e+00	1.502272e+00	1.636449e+00
CNS-GBM	lncrna	1.479067e+00	1.413018e+00	1.548249e+00
CNS-GBM	lncrna.prom	1.548536e+00	1.435218e+00	1.670934e+00
CNS-GBM	pc.3utr	1.325534e+00	1.288301e+00	1.363859e+00
CNS-GBM	pc.5utr	1.637309e+00	1.556527e+00	1.722344e+00
CNS-GBM	promcore	1.634642e+00	1.572553e+00	1.699217e+00
CNS-Medullo	CDS	1.954315e-01	1.881905e-01	2.029551e-01
CNS-Medullo	enhancers	1.648643e-01	1.536301e-01	1.769322e-01
CNS-Medullo	lncrna	1.603650e-01	1.488925e-01	1.727346e-01
CNS-Medullo	lncrna.prom	2.230705e-01	1.974433e-01	2.520772e-01
CNS-Medullo	pc.3utr	1.359296e-01	1.296598e-01	1.425070e-01
CNS-Medullo	pc.5utr	1.839735e-01	1.683093e-01	2.011178e-01
CNS-Medullo	promcore	1.921721e-01	1.801237e-01	2.050385e-01
